Altium Designer Pick and Place Locations
C:\Users\RickWang\OneDrive - Latium Tech\Documents\GitHub\pcl_sensor_PCB\Project Outputs for PCB_Project\Pick Place for PCB_PROJECT(Variant of PCB_Project).csv

========================================================================================================================
File Design Information:

Date:       10-11-21
Time:       13:30
Revision:   fbf7b2338e661e69927a8168d465f5802fed4f7b
Variant:    Variant of PCB_Project
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"IC1","BME280","TopLayer","PSON65P250X250X100-8N","639.158mil","995.999mil","180","Integrated Circuit"
"FL8","BLM15AG102SN1D","TopLayer","BEADC1005X55N","432.636mil","1159.646mil","180","1 kOhms @ 100MHz 1 Ferrite Bead 0402 _1005 Metric_ 300mA 650mOhm"
"FL7","BLM15AG102SN1D","TopLayer","BEADC1005X55N","505.254mil","1161.097mil","0","1 kOhms @ 100MHz 1 Ferrite Bead 0402 _1005 Metric_ 300mA 650mOhm"
"FL6","BLM15AG102SN1D","TopLayer","BEADC1005X55N","537.363mil","491.664mil","90","1 kOhms @ 100MHz 1 Ferrite Bead 0402 _1005 Metric_ 300mA 650mOhm"
"C16","CAP CER 330UF 4V X5R 1210","TopLayer","FP-GRM32E-0_3-IPC_B","822.652mil","253.782mil","0","330µF ±20% 4V Ceramic Capacitor X5R 1210 (3225 Metric)"
"R2","Resistor 100k +/-1% 0402 63 mW","TopLayer","RESC1005X40X25ML05T05","327.489mil","511.787mil","90","Chip Resistor, 100 KOhm, +/- 1%, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"
"C14","2.2pf","TopLayer","CAPC0402","590.551mil","2133.858mil","180","04023J2R2ABSTR,  CAP CER 2.2PF 50V X7R 0402"
"RJ1","Resistor 0R +/- 5% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","264.849mil","306.277mil","0","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"FL3","BLM15AG102SN1D","TopLayer","BEADC1005X55N","354.331mil","2166.850mil","270","1 kOhms @ 100MHz 1 Ferrite Bead 0402 _1005 Metric_ 300mA 650mOhm"
"FL5","BLM15AG102SN1D","TopLayer","BEADC1005X55N","833.150mil","874.016mil","0","1 kOhms @ 100MHz 1 Ferrite Bead 0402 _1005 Metric_ 300mA 650mOhm"
